Date	Precipitation	TempMin	TempMean	TempMax	Radiation	SunshineDuration	SoilMoisture	SoilTemperature	Windspeed	RefETcalc	RefETdwd	RelHumCalc	Gridcell
1951-01-01	0.1	-12.0	-5.6	-3.1	2636	2.8	-999.0	-999.0	2.7	0.5	-999.0	67	C_558:R_186
1951-01-02	0.0	-4.0	-1.1	0.2	2149	1.6	-999.0	-999.0	2.5	0.4	-999.0	82	C_558:R_186
1951-01-03	1.0	-3.8	-1.5	-0.1	1488	0.0	-999.0	-999.0	1.8	0.4	-999.0	83	C_558:R_186
1951-01-04	0.0	-2.8	-0.3	2.6	2486	2.3	-999.0	-999.0	2.6	0.5	-999.0	78	C_558:R_186
1951-01-05	3.2	-3.0	2.3	3.7	1518	0.0	-999.0	-999.0	3.1	0.8	-999.0	75	C_558:R_186
1951-01-06	4.2	2.0	3.8	5.9	1622	0.2	-999.0	-999.0	2.3	0.6	-999.0	83	C_558:R_186
1951-01-07	4.3	1.6	4.9	6.5	1597	0.1	-999.0	-999.0	5.3	1.0	-999.0	80	C_558:R_186
1951-01-08	0.0	1.1	2.2	5.7	1969	0.9	-999.0	-999.0	3.4	0.7	-999.0	81	C_558:R_186
1951-01-09	4.8	0.9	2.9	5.8	1637	0.1	-999.0	-999.0	3.7	0.8	-999.0	80	C_558:R_186
1951-01-10	1.5	-0.5	1.5	3.7	3184	3.5	-999.0	-999.0	2.2	0.4	-999.0	82	C_558:R_186
1951-01-11	1.4	-0.5	5.0	6.0	1636	0.0	-999.0	-999.0	4.1	1.0	-999.0	76	C_558:R_186
1951-01-12	2.8	3.8	6.1	9.3	3259	3.5	-999.0	-999.0	3.0	0.7	-999.0	79	C_558:R_186
1951-01-13	0.0	1.5	2.8	4.2	1684	0.0	-999.0	-999.0	2.6	0.5	-999.0	87	C_558:R_186
1951-01-14	3.1	0.8	4.0	5.2	3807	4.5	-999.0	-999.0	3.5	0.6	-999.0	82	C_558:R_186
1951-01-15	5.1	1.0	2.2	4.6	1737	0.0	-999.0	-999.0	3.7	0.7	-999.0	84	C_558:R_186
1951-01-16	0.1	0.3	1.9	3.1	2145	0.8	-999.0	-999.0	3.6	0.5	-999.0	87	C_558:R_186
1951-01-17	5.8	-0.3	1.4	3.4	1793	0.0	-999.0	-999.0	3.8	0.6	-999.0	84	C_558:R_186
1951-01-18	2.1	0.9	4.4	5.5	1823	0.0	-999.0	-999.0	5.4	0.9	-999.0	81	C_558:R_186
1951-01-19	1.3	3.2	4.0	5.0	1855	0.0	-999.0	-999.0	5.4	0.6	-999.0	90	C_558:R_186
1951-01-20	0.0	1.8	3.3	4.2	2335	0.9	-999.0	-999.0	4.5	0.5	-999.0	88	C_558:R_186
1951-01-21	0.0	-3.8	-1.7	3.2	3280	2.7	-999.0	-999.0	2.5	0.6	-999.0	74	C_558:R_186
